date,transaction_id,department,gl_code,gl_category,description,amount,vendor,transaction_type,month,year,source,role_visibility,status
2023-01-05,GL000053,Engineering,6100,Cloud Infrastructure,"AWS usage line 3: compute, storage, and observability",673.51,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-06,GL000054,Engineering,6100,Cloud Infrastructure,"AWS usage line 4: compute, storage, and observability",689.55,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-07,GL000055,Engineering,6100,Cloud Infrastructure,"AWS usage line 5: compute, storage, and observability",705.58,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-08,GL000056,Engineering,6100,Cloud Infrastructure,"AWS usage line 6: compute, storage, and observability",721.62,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-09,GL000057,Engineering,6100,Cloud Infrastructure,"AWS usage line 7: compute, storage, and observability",737.66,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-10,GL000058,Engineering,6100,Cloud Infrastructure,"AWS usage line 8: compute, storage, and observability",753.69,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-11,GL000059,Engineering,6100,Cloud Infrastructure,"AWS usage line 9: compute, storage, and observability",769.73,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-12,GL000060,Engineering,6100,Cloud Infrastructure,"AWS usage line 10: compute, storage, and observability",785.76,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-13,GL000061,Engineering,6100,Cloud Infrastructure,"AWS usage line 11: compute, storage, and observability",801.8,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-14,GL000062,Engineering,6100,Cloud Infrastructure,"AWS usage line 12: compute, storage, and observability",817.84,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-15,GL000063,Engineering,6100,Cloud Infrastructure,"AWS usage line 13: compute, storage, and observability",833.87,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-16,GL000064,Engineering,6100,Cloud Infrastructure,"AWS usage line 14: compute, storage, and observability",849.91,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-17,GL000065,Engineering,6100,Cloud Infrastructure,"AWS usage line 15: compute, storage, and observability",865.94,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-18,GL000066,Engineering,6100,Cloud Infrastructure,"AWS usage line 16: compute, storage, and observability",881.98,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-19,GL000067,Engineering,6100,Cloud Infrastructure,"AWS usage line 17: compute, storage, and observability",898.02,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-20,GL000068,Engineering,6100,Cloud Infrastructure,"AWS usage line 18: compute, storage, and observability",914.05,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-21,GL000069,Engineering,6100,Cloud Infrastructure,"AWS usage line 19: compute, storage, and observability",930.09,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-22,GL000070,Engineering,6100,Cloud Infrastructure,"AWS usage line 20: compute, storage, and observability",946.12,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-03,GL000071,Engineering,6100,Cloud Infrastructure,"AWS usage line 21: compute, storage, and observability",962.16,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-04,GL000072,Engineering,6100,Cloud Infrastructure,"AWS usage line 22: compute, storage, and observability",978.2,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-05,GL000073,Engineering,6100,Cloud Infrastructure,"AWS usage line 23: compute, storage, and observability",994.23,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-06,GL000074,Engineering,6100,Cloud Infrastructure,"AWS usage line 24: compute, storage, and observability",1010.27,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-07,GL000075,Engineering,6100,Cloud Infrastructure,"AWS usage line 25: compute, storage, and observability",1026.3,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-06,GL000076,Product,6100,Cloud Infrastructure,GCP analytics workload 1,523.28,GCP,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-07,GL000077,Product,6100,Cloud Infrastructure,GCP analytics workload 2,595.02,GCP,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-08,GL000078,Product,6100,Cloud Infrastructure,GCP analytics workload 3,666.76,GCP,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-09,GL000079,Product,6100,Cloud Infrastructure,GCP analytics workload 4,738.5,GCP,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-10,GL000080,Product,6100,Cloud Infrastructure,GCP analytics workload 5,810.24,GCP,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-07,GL000081,Operations,6200,SaaS Tools & Subscriptions,Company Slack workspace subscription,675.2,Slack,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-08,GL000082,Operations,6200,SaaS Tools & Subscriptions,Notion knowledge base seats,506.4,Notion,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-09,GL000083,Operations,6200,SaaS Tools & Subscriptions,Zoom business conferencing licenses,759.6,Zoom,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-10,GL000084,Sales,6200,SaaS Tools & Subscriptions,Salesforce CRM seats and automation,3460.4,Salesforce,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-11,GL000085,Finance,6200,SaaS Tools & Subscriptions,Stripe billing and revenue tooling,928.4,Stripe,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Finance']",
2023-01-12,GL000086,Engineering,6200,SaaS Tools & Subscriptions,GitHub source control and CI seats,1012.8,GitHub,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-13,GL000087,Product,6200,SaaS Tools & Subscriptions,Figma product design seats,548.6,Figma,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-10,GL000088,Operations,6600,Office & Facilities,WeWork office rent and facilities,10676.6,WeWork,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-11,GL000089,Operations,6600,Office & Facilities,"Office supplies, snacks, and workplace services",1772.4,Staples,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-12,GL000090,Operations,6600,Office & Facilities,Distributed team equipment and shipping,1392.6,Apple,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-15,GL000091,Sales,6200,SaaS Tools & Subscriptions,Annual Salesforce CRM contract renewal,35448.0,Salesforce,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-12,GL000092,Marketing,6300,Sales & Marketing,Q1 campaign spend: Google Ads,783.71,Google Ads,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-13,GL000093,Marketing,6300,Sales & Marketing,Q1 campaign spend: LinkedIn,783.71,LinkedIn,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-14,GL000094,Marketing,6300,Sales & Marketing,Q1 campaign spend: HubSpot,783.71,HubSpot,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-15,GL000095,Marketing,6300,Sales & Marketing,Q1 campaign spend: Clearbit,783.71,Clearbit,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-16,GL000096,Marketing,6300,Sales & Marketing,Q1 campaign spend: Webflow,783.71,Webflow,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-17,GL000097,Marketing,6300,Sales & Marketing,Q1 campaign spend: Customer.io,783.71,Customer.io,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-18,GL000098,Marketing,6300,Sales & Marketing,Q1 campaign spend: Sendoso,783.71,Sendoso,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-18,GL000099,Sales,6400,Travel & Entertainment,Q1 customer travel and field expense: Ramp,738.5,Ramp,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-19,GL000100,Sales,6400,Travel & Entertainment,Q1 customer travel and field expense: Delta,738.5,Delta,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-20,GL000101,Sales,6400,Travel & Entertainment,Q1 customer travel and field expense: Marriott,738.5,Marriott,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-21,GL000102,Sales,6400,Travel & Entertainment,Q1 customer travel and field expense: Uber,738.5,Uber,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-20,GL000103,Engineering,6700,R&D Expenses,Product research and development expense: Toptal,1024.86,Toptal,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-21,GL000104,Product,6700,R&D Expenses,Product research and development expense: UserTesting,1024.86,UserTesting,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-22,GL000105,Engineering,6700,R&D Expenses,Product research and development expense: Linear,1024.86,Linear,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-23,GL000106,Engineering,6700,R&D Expenses,Product research and development expense: Datadog,1024.86,Datadog,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-24,GL000107,Engineering,6700,R&D Expenses,Product research and development expense: Sentry,1024.86,Sentry,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-25,GL000108,Engineering,6700,R&D Expenses,Product research and development expense: OpenAI,1024.86,OpenAI,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-26,GL000109,Engineering,6700,R&D Expenses,Product research and development expense: BrowserStack,1024.86,BrowserStack,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-24,GL000110,Finance,6500,Professional Services,Monthly bookkeeping and controller advisory,3798.0,Pilot,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Finance']",
2023-01-26,GL000111,Finance,6500,Professional Services,Employment counsel and contract review,3207.2,Cooley,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Finance']",
2023-02-28,GL000119,Engineering,6000,Payroll & Benefits,February 2023 payroll for E001,12720.0,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000120,Engineering,6000,Payroll & Benefits,February 2023 payroll for E002,12871.76,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000121,Engineering,6000,Payroll & Benefits,February 2023 payroll for E003,13023.53,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000122,Engineering,6000,Payroll & Benefits,February 2023 payroll for E004,13175.29,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000123,Engineering,6000,Payroll & Benefits,February 2023 payroll for E005,13327.06,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000124,Engineering,6000,Payroll & Benefits,February 2023 payroll for E006,13478.82,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000125,Engineering,6000,Payroll & Benefits,February 2023 payroll for E007,13630.59,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000126,Engineering,6000,Payroll & Benefits,February 2023 payroll for E008,13782.35,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000127,Engineering,6000,Payroll & Benefits,February 2023 payroll for E009,13934.12,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000128,Engineering,6000,Payroll & Benefits,February 2023 payroll for E010,14085.88,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000129,Engineering,6000,Payroll & Benefits,February 2023 payroll for E011,14237.65,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000130,Engineering,6000,Payroll & Benefits,February 2023 payroll for E012,14389.41,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000131,Engineering,6000,Payroll & Benefits,February 2023 payroll for E013,14541.18,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000132,Engineering,6000,Payroll & Benefits,February 2023 payroll for E014,14692.94,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000133,Engineering,6000,Payroll & Benefits,February 2023 payroll for E015,14844.71,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000134,Engineering,6000,Payroll & Benefits,February 2023 payroll for E016,14996.47,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000135,Engineering,6000,Payroll & Benefits,February 2023 payroll for E017,15148.24,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000136,Engineering,6000,Payroll & Benefits,February 2023 payroll for E018,15300.0,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-02-28,GL000137,Sales,6000,Payroll & Benefits,February 2023 payroll for E019,9186.67,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-02-28,GL000138,Sales,6000,Payroll & Benefits,February 2023 payroll for E020,9393.7,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-02-28,GL000139,Sales,6000,Payroll & Benefits,February 2023 payroll for E021,9600.74,Gusto,expense,2023-02,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
