month,employee_id,department,role,base_salary,bonus,benefits,total_cost
2023-02,E019,Sales,Account Executive,7066.67,706.67,1413.33,9186.67
2023-02,E020,Sales,Sales Development Rep,7225.93,722.59,1445.19,9393.7
2023-02,E021,Sales,Sales Manager,7385.19,738.52,1477.04,9600.74
2023-02,E022,Sales,Account Executive,7544.44,754.44,1508.89,9807.78
2023-02,E023,Sales,Sales Development Rep,7703.7,770.37,1540.74,10014.81
2023-02,E024,Sales,Sales Manager,7862.96,786.3,1572.59,10221.85
2023-02,E025,Sales,Account Executive,8022.22,802.22,1604.44,10428.89
2023-02,E026,Sales,Sales Development Rep,8181.48,818.15,1636.3,10635.93
2023-02,E027,Sales,Sales Manager,8340.74,834.07,1668.15,10842.96
2023-02,E028,Sales,Account Executive,8500.0,850.0,1700.0,11050.0
2023-02,E029,Marketing,Marketing Manager,6600.0,0.0,1320.0,7920.0
2023-02,E030,Marketing,Demand Generation Specialist,6850.83,0.0,1370.17,8221.0
2023-02,E031,Marketing,Content Strategist,7101.67,0.0,1420.33,8522.0
2023-02,E032,Marketing,Marketing Manager,7352.5,0.0,1470.5,8823.0
2023-02,E033,Marketing,Demand Generation Specialist,7603.33,0.0,1520.67,9124.0
2023-02,E034,Marketing,Content Strategist,7854.17,0.0,1570.83,9425.0
2023-02,E035,Product,Product Manager,9566.67,0.0,1913.33,11480.0
2023-02,E036,Product,Senior Product Manager,9925.0,0.0,1985.0,11910.0
2023-02,E037,Product,Product Designer,10283.33,0.0,2056.67,12340.0
2023-02,E038,Product,Product Manager,10641.67,0.0,2128.33,12770.0
2023-02,E039,Product,Senior Product Manager,11000.0,0.0,2200.0,13200.0
2023-02,E040,Operations,Operations Manager,5716.67,0.0,1143.33,6860.0
2023-02,E041,Operations,People Operations Specialist,5895.83,0.0,1179.17,7075.0
2023-02,E042,Operations,IT Administrator,6075.0,0.0,1215.0,7290.0
2023-02,E043,Operations,Operations Manager,6254.17,0.0,1250.83,7505.0
2023-02,E044,Operations,People Operations Specialist,6433.33,0.0,1286.67,7720.0
2023-02,E045,Operations,IT Administrator,6612.5,0.0,1322.5,7935.0
2023-02,E046,Operations,Operations Manager,6791.67,0.0,1358.33,8150.0
2023-02,E047,Finance,Financial Analyst,7433.33,0.0,1486.67,8920.0
2023-02,E048,Finance,Controller,7851.39,0.0,1570.28,9421.67
2023-02,E049,Finance,Accounting Manager,8269.44,0.0,1653.89,9923.33
2023-02,E050,Finance,Financial Analyst,8687.5,0.0,1737.5,10425.0
2023-03,E001,Engineering,Software Engineer,10600.0,0.0,2120.0,12720.0
2023-03,E002,Engineering,Senior Software Engineer,10726.47,0.0,2145.29,12871.76
2023-03,E003,Engineering,Staff Engineer,10852.94,0.0,2170.59,13023.53
2023-03,E004,Engineering,DevOps Engineer,10979.41,0.0,2195.88,13175.29
2023-03,E005,Engineering,Software Engineer,11105.88,0.0,2221.18,13327.06
2023-03,E006,Engineering,Senior Software Engineer,11232.35,0.0,2246.47,13478.82
2023-03,E007,Engineering,Staff Engineer,11358.82,0.0,2271.76,13630.59
2023-03,E008,Engineering,DevOps Engineer,11485.29,0.0,2297.06,13782.35
2023-03,E009,Engineering,Software Engineer,11611.76,0.0,2322.35,13934.12
2023-03,E010,Engineering,Senior Software Engineer,11738.24,0.0,2347.65,14085.88
2023-03,E011,Engineering,Staff Engineer,11864.71,0.0,2372.94,14237.65
2023-03,E012,Engineering,DevOps Engineer,11991.18,0.0,2398.24,14389.41
2023-03,E013,Engineering,Software Engineer,12117.65,0.0,2423.53,14541.18
2023-03,E014,Engineering,Senior Software Engineer,12244.12,0.0,2448.82,14692.94
2023-03,E015,Engineering,Staff Engineer,12370.59,0.0,2474.12,14844.71
2023-03,E016,Engineering,DevOps Engineer,12497.06,0.0,2499.41,14996.47
2023-03,E017,Engineering,Software Engineer,12623.53,0.0,2524.71,15148.24
2023-03,E018,Engineering,Senior Software Engineer,12750.0,0.0,2550.0,15300.0
2023-03,E019,Sales,Account Executive,7066.67,706.67,1413.33,9186.67
2023-03,E020,Sales,Sales Development Rep,7225.93,722.59,1445.19,9393.7
2023-03,E021,Sales,Sales Manager,7385.19,738.52,1477.04,9600.74
2023-03,E022,Sales,Account Executive,7544.44,754.44,1508.89,9807.78
2023-03,E023,Sales,Sales Development Rep,7703.7,770.37,1540.74,10014.81
2023-03,E024,Sales,Sales Manager,7862.96,786.3,1572.59,10221.85
2023-03,E025,Sales,Account Executive,8022.22,802.22,1604.44,10428.89
2023-03,E026,Sales,Sales Development Rep,8181.48,818.15,1636.3,10635.93
2023-03,E027,Sales,Sales Manager,8340.74,834.07,1668.15,10842.96
2023-03,E028,Sales,Account Executive,8500.0,850.0,1700.0,11050.0
2023-03,E029,Marketing,Marketing Manager,6600.0,0.0,1320.0,7920.0
2023-03,E030,Marketing,Demand Generation Specialist,6850.83,0.0,1370.17,8221.0
2023-03,E031,Marketing,Content Strategist,7101.67,0.0,1420.33,8522.0
2023-03,E032,Marketing,Marketing Manager,7352.5,0.0,1470.5,8823.0
2023-03,E033,Marketing,Demand Generation Specialist,7603.33,0.0,1520.67,9124.0
2023-03,E034,Marketing,Content Strategist,7854.17,0.0,1570.83,9425.0
2023-03,E035,Product,Product Manager,9566.67,0.0,1913.33,11480.0
2023-03,E036,Product,Senior Product Manager,9925.0,0.0,1985.0,11910.0
2023-03,E037,Product,Product Designer,10283.33,0.0,2056.67,12340.0
2023-03,E038,Product,Product Manager,10641.67,0.0,2128.33,12770.0
2023-03,E039,Product,Senior Product Manager,11000.0,0.0,2200.0,13200.0
2023-03,E040,Operations,Operations Manager,5716.67,0.0,1143.33,6860.0
2023-03,E041,Operations,People Operations Specialist,5895.83,0.0,1179.17,7075.0
2023-03,E042,Operations,IT Administrator,6075.0,0.0,1215.0,7290.0
2023-03,E043,Operations,Operations Manager,6254.17,0.0,1250.83,7505.0
2023-03,E044,Operations,People Operations Specialist,6433.33,0.0,1286.67,7720.0
2023-03,E045,Operations,IT Administrator,6612.5,0.0,1322.5,7935.0
2023-03,E046,Operations,Operations Manager,6791.67,0.0,1358.33,8150.0
2023-03,E047,Finance,Financial Analyst,7433.33,0.0,1486.67,8920.0
2023-03,E048,Finance,Controller,7851.39,0.0,1570.28,9421.67
2023-03,E049,Finance,Accounting Manager,8269.44,0.0,1653.89,9923.33
2023-03,E050,Finance,Financial Analyst,8687.5,0.0,1737.5,10425.0
2023-04,E001,Engineering,Software Engineer,10600.0,0.0,2120.0,12720.0
2023-04,E002,Engineering,Senior Software Engineer,10726.47,0.0,2145.29,12871.76
2023-04,E003,Engineering,Staff Engineer,10852.94,0.0,2170.59,13023.53
2023-04,E004,Engineering,DevOps Engineer,10979.41,0.0,2195.88,13175.29
2023-04,E005,Engineering,Software Engineer,11105.88,0.0,2221.18,13327.06
2023-04,E006,Engineering,Senior Software Engineer,11232.35,0.0,2246.47,13478.82
2023-04,E007,Engineering,Staff Engineer,11358.82,0.0,2271.76,13630.59
2023-04,E008,Engineering,DevOps Engineer,11485.29,0.0,2297.06,13782.35
2023-04,E009,Engineering,Software Engineer,11611.76,0.0,2322.35,13934.12
2023-04,E010,Engineering,Senior Software Engineer,11738.24,0.0,2347.65,14085.88
2023-04,E011,Engineering,Staff Engineer,11864.71,0.0,2372.94,14237.65
2023-04,E012,Engineering,DevOps Engineer,11991.18,0.0,2398.24,14389.41
2023-04,E013,Engineering,Software Engineer,12117.65,0.0,2423.53,14541.18
2023-04,E014,Engineering,Senior Software Engineer,12244.12,0.0,2448.82,14692.94
2023-04,E015,Engineering,Staff Engineer,12370.59,0.0,2474.12,14844.71
2023-04,E016,Engineering,DevOps Engineer,12497.06,0.0,2499.41,14996.47
2023-04,E017,Engineering,Software Engineer,12623.53,0.0,2524.71,15148.24
2023-04,E018,Engineering,Senior Software Engineer,12750.0,0.0,2550.0,15300.0
2023-04,E019,Sales,Account Executive,7066.67,706.67,1413.33,9186.67
2023-04,E020,Sales,Sales Development Rep,7225.93,722.59,1445.19,9393.7
2023-04,E021,Sales,Sales Manager,7385.19,738.52,1477.04,9600.74
2023-04,E022,Sales,Account Executive,7544.44,754.44,1508.89,9807.78
2023-04,E023,Sales,Sales Development Rep,7703.7,770.37,1540.74,10014.81
2023-04,E024,Sales,Sales Manager,7862.96,786.3,1572.59,10221.85
2023-04,E025,Sales,Account Executive,8022.22,802.22,1604.44,10428.89
2023-04,E026,Sales,Sales Development Rep,8181.48,818.15,1636.3,10635.93
2023-04,E027,Sales,Sales Manager,8340.74,834.07,1668.15,10842.96
2023-04,E028,Sales,Account Executive,8500.0,850.0,1700.0,11050.0
2023-04,E029,Marketing,Marketing Manager,6600.0,0.0,1320.0,7920.0
2023-04,E030,Marketing,Demand Generation Specialist,6850.83,0.0,1370.17,8221.0
2023-04,E031,Marketing,Content Strategist,7101.67,0.0,1420.33,8522.0
2023-04,E032,Marketing,Marketing Manager,7352.5,0.0,1470.5,8823.0
2023-04,E033,Marketing,Demand Generation Specialist,7603.33,0.0,1520.67,9124.0
2023-04,E034,Marketing,Content Strategist,7854.17,0.0,1570.83,9425.0
2023-04,E035,Product,Product Manager,9566.67,0.0,1913.33,11480.0
2023-04,E036,Product,Senior Product Manager,9925.0,0.0,1985.0,11910.0
2023-04,E037,Product,Product Designer,10283.33,0.0,2056.67,12340.0
2023-04,E038,Product,Product Manager,10641.67,0.0,2128.33,12770.0
2023-04,E039,Product,Senior Product Manager,11000.0,0.0,2200.0,13200.0
2023-04,E040,Operations,Operations Manager,5716.67,0.0,1143.33,6860.0
2023-04,E041,Operations,People Operations Specialist,5895.83,0.0,1179.17,7075.0
2023-04,E042,Operations,IT Administrator,6075.0,0.0,1215.0,7290.0
2023-04,E043,Operations,Operations Manager,6254.17,0.0,1250.83,7505.0
2023-04,E044,Operations,People Operations Specialist,6433.33,0.0,1286.67,7720.0
2023-04,E045,Operations,IT Administrator,6612.5,0.0,1322.5,7935.0
2023-04,E046,Operations,Operations Manager,6791.67,0.0,1358.33,8150.0
2023-04,E047,Finance,Financial Analyst,7433.33,0.0,1486.67,8920.0
2023-04,E048,Finance,Controller,7851.39,0.0,1570.28,9421.67
2023-04,E049,Finance,Accounting Manager,8269.44,0.0,1653.89,9923.33
2023-04,E050,Finance,Financial Analyst,8687.5,0.0,1737.5,10425.0
2023-05,E001,Engineering,Software Engineer,10600.0,0.0,2120.0,12720.0
2023-05,E002,Engineering,Senior Software Engineer,10726.47,0.0,2145.29,12871.76
2023-05,E003,Engineering,Staff Engineer,10852.94,0.0,2170.59,13023.53
2023-05,E004,Engineering,DevOps Engineer,10979.41,0.0,2195.88,13175.29
2023-05,E005,Engineering,Software Engineer,11105.88,0.0,2221.18,13327.06
2023-05,E006,Engineering,Senior Software Engineer,11232.35,0.0,2246.47,13478.82
2023-05,E007,Engineering,Staff Engineer,11358.82,0.0,2271.76,13630.59
2023-05,E008,Engineering,DevOps Engineer,11485.29,0.0,2297.06,13782.35
2023-05,E009,Engineering,Software Engineer,11611.76,0.0,2322.35,13934.12
2023-05,E010,Engineering,Senior Software Engineer,11738.24,0.0,2347.65,14085.88
2023-05,E011,Engineering,Staff Engineer,11864.71,0.0,2372.94,14237.65
2023-05,E012,Engineering,DevOps Engineer,11991.18,0.0,2398.24,14389.41
2023-05,E013,Engineering,Software Engineer,12117.65,0.0,2423.53,14541.18
2023-05,E014,Engineering,Senior Software Engineer,12244.12,0.0,2448.82,14692.94
2023-05,E015,Engineering,Staff Engineer,12370.59,0.0,2474.12,14844.71
2023-05,E016,Engineering,DevOps Engineer,12497.06,0.0,2499.41,14996.47
2023-05,E017,Engineering,Software Engineer,12623.53,0.0,2524.71,15148.24
2023-05,E018,Engineering,Senior Software Engineer,12750.0,0.0,2550.0,15300.0
2023-05,E019,Sales,Account Executive,7066.67,706.67,1413.33,9186.67
2023-05,E020,Sales,Sales Development Rep,7225.93,722.59,1445.19,9393.7
2023-05,E021,Sales,Sales Manager,7385.19,738.52,1477.04,9600.74
2023-05,E022,Sales,Account Executive,7544.44,754.44,1508.89,9807.78
2023-05,E023,Sales,Sales Development Rep,7703.7,770.37,1540.74,10014.81
2023-05,E024,Sales,Sales Manager,7862.96,786.3,1572.59,10221.85
2023-05,E025,Sales,Account Executive,8022.22,802.22,1604.44,10428.89
2023-05,E026,Sales,Sales Development Rep,8181.48,818.15,1636.3,10635.93
2023-05,E027,Sales,Sales Manager,8340.74,834.07,1668.15,10842.96
2023-05,E028,Sales,Account Executive,8500.0,850.0,1700.0,11050.0
2023-05,E029,Marketing,Marketing Manager,6600.0,0.0,1320.0,7920.0
2023-05,E030,Marketing,Demand Generation Specialist,6850.83,0.0,1370.17,8221.0
2023-05,E031,Marketing,Content Strategist,7101.67,0.0,1420.33,8522.0
2023-05,E032,Marketing,Marketing Manager,7352.5,0.0,1470.5,8823.0
2023-05,E033,Marketing,Demand Generation Specialist,7603.33,0.0,1520.67,9124.0
2023-05,E034,Marketing,Content Strategist,7854.17,0.0,1570.83,9425.0
2023-05,E035,Product,Product Manager,9566.67,0.0,1913.33,11480.0
2023-05,E036,Product,Senior Product Manager,9925.0,0.0,1985.0,11910.0
2023-05,E037,Product,Product Designer,10283.33,0.0,2056.67,12340.0
2023-05,E038,Product,Product Manager,10641.67,0.0,2128.33,12770.0
2023-05,E039,Product,Senior Product Manager,11000.0,0.0,2200.0,13200.0
2023-05,E040,Operations,Operations Manager,5716.67,0.0,1143.33,6860.0
2023-05,E041,Operations,People Operations Specialist,5895.83,0.0,1179.17,7075.0
2023-05,E042,Operations,IT Administrator,6075.0,0.0,1215.0,7290.0
2023-05,E043,Operations,Operations Manager,6254.17,0.0,1250.83,7505.0
2023-05,E044,Operations,People Operations Specialist,6433.33,0.0,1286.67,7720.0
2023-05,E045,Operations,IT Administrator,6612.5,0.0,1322.5,7935.0
2023-05,E046,Operations,Operations Manager,6791.67,0.0,1358.33,8150.0
2023-05,E047,Finance,Financial Analyst,7433.33,0.0,1486.67,8920.0
2023-05,E048,Finance,Controller,7851.39,0.0,1570.28,9421.67
2023-05,E049,Finance,Accounting Manager,8269.44,0.0,1653.89,9923.33
2023-05,E050,Finance,Financial Analyst,8687.5,0.0,1737.5,10425.0
2023-06,E001,Engineering,Software Engineer,10600.0,0.0,2120.0,12720.0
2023-06,E002,Engineering,Senior Software Engineer,10726.47,0.0,2145.29,12871.76
2023-06,E003,Engineering,Staff Engineer,10852.94,0.0,2170.59,13023.53
2023-06,E004,Engineering,DevOps Engineer,10979.41,0.0,2195.88,13175.29
2023-06,E005,Engineering,Software Engineer,11105.88,0.0,2221.18,13327.06
2023-06,E006,Engineering,Senior Software Engineer,11232.35,0.0,2246.47,13478.82
2023-06,E007,Engineering,Staff Engineer,11358.82,0.0,2271.76,13630.59
2023-06,E008,Engineering,DevOps Engineer,11485.29,0.0,2297.06,13782.35
2023-06,E009,Engineering,Software Engineer,11611.76,0.0,2322.35,13934.12
2023-06,E010,Engineering,Senior Software Engineer,11738.24,0.0,2347.65,14085.88
2023-06,E011,Engineering,Staff Engineer,11864.71,0.0,2372.94,14237.65
2023-06,E012,Engineering,DevOps Engineer,11991.18,0.0,2398.24,14389.41
2023-06,E013,Engineering,Software Engineer,12117.65,0.0,2423.53,14541.18
2023-06,E014,Engineering,Senior Software Engineer,12244.12,0.0,2448.82,14692.94
2023-06,E015,Engineering,Staff Engineer,12370.59,0.0,2474.12,14844.71
2023-06,E016,Engineering,DevOps Engineer,12497.06,0.0,2499.41,14996.47
2023-06,E017,Engineering,Software Engineer,12623.53,0.0,2524.71,15148.24
2023-06,E018,Engineering,Senior Software Engineer,12750.0,0.0,2550.0,15300.0
2023-06,E019,Sales,Account Executive,7066.67,706.67,1413.33,9186.67
2023-06,E020,Sales,Sales Development Rep,7225.93,722.59,1445.19,9393.7
2023-06,E021,Sales,Sales Manager,7385.19,738.52,1477.04,9600.74
2023-06,E022,Sales,Account Executive,7544.44,754.44,1508.89,9807.78
2023-06,E023,Sales,Sales Development Rep,7703.7,770.37,1540.74,10014.81
2023-06,E024,Sales,Sales Manager,7862.96,786.3,1572.59,10221.85
2023-06,E025,Sales,Account Executive,8022.22,802.22,1604.44,10428.89
2023-06,E026,Sales,Sales Development Rep,8181.48,818.15,1636.3,10635.93
2023-06,E027,Sales,Sales Manager,8340.74,834.07,1668.15,10842.96
2023-06,E028,Sales,Account Executive,8500.0,850.0,1700.0,11050.0
2023-06,E029,Marketing,Marketing Manager,6600.0,0.0,1320.0,7920.0
2023-06,E030,Marketing,Demand Generation Specialist,6850.83,0.0,1370.17,8221.0
2023-06,E031,Marketing,Content Strategist,7101.67,0.0,1420.33,8522.0
2023-06,E032,Marketing,Marketing Manager,7352.5,0.0,1470.5,8823.0
2023-06,E033,Marketing,Demand Generation Specialist,7603.33,0.0,1520.67,9124.0
2023-06,E034,Marketing,Content Strategist,7854.17,0.0,1570.83,9425.0
2023-06,E035,Product,Product Manager,9566.67,0.0,1913.33,11480.0
2023-06,E036,Product,Senior Product Manager,9925.0,0.0,1985.0,11910.0
2023-06,E037,Product,Product Designer,10283.33,0.0,2056.67,12340.0
2023-06,E038,Product,Product Manager,10641.67,0.0,2128.33,12770.0
2023-06,E039,Product,Senior Product Manager,11000.0,0.0,2200.0,13200.0
2023-06,E040,Operations,Operations Manager,5716.67,0.0,1143.33,6860.0
2023-06,E041,Operations,People Operations Specialist,5895.83,0.0,1179.17,7075.0
2023-06,E042,Operations,IT Administrator,6075.0,0.0,1215.0,7290.0
2023-06,E043,Operations,Operations Manager,6254.17,0.0,1250.83,7505.0
2023-06,E044,Operations,People Operations Specialist,6433.33,0.0,1286.67,7720.0
2023-06,E045,Operations,IT Administrator,6612.5,0.0,1322.5,7935.0
2023-06,E046,Operations,Operations Manager,6791.67,0.0,1358.33,8150.0
2023-06,E047,Finance,Financial Analyst,7433.33,0.0,1486.67,8920.0
2023-06,E048,Finance,Controller,7851.39,0.0,1570.28,9421.67
2023-06,E049,Finance,Accounting Manager,8269.44,0.0,1653.89,9923.33
2023-06,E050,Finance,Financial Analyst,8687.5,0.0,1737.5,10425.0
2023-07,E001,Engineering,Software Engineer,10600.0,0.0,2120.0,12720.0
2023-07,E002,Engineering,Senior Software Engineer,10726.47,0.0,2145.29,12871.76
2023-07,E003,Engineering,Staff Engineer,10852.94,0.0,2170.59,13023.53
2023-07,E004,Engineering,DevOps Engineer,10979.41,0.0,2195.88,13175.29
2023-07,E005,Engineering,Software Engineer,11105.88,0.0,2221.18,13327.06
2023-07,E006,Engineering,Senior Software Engineer,11232.35,0.0,2246.47,13478.82
2023-07,E007,Engineering,Staff Engineer,11358.82,0.0,2271.76,13630.59
2023-07,E008,Engineering,DevOps Engineer,11485.29,0.0,2297.06,13782.35
2023-07,E009,Engineering,Software Engineer,11611.76,0.0,2322.35,13934.12
2023-07,E010,Engineering,Senior Software Engineer,11738.24,0.0,2347.65,14085.88
2023-07,E011,Engineering,Staff Engineer,11864.71,0.0,2372.94,14237.65
2023-07,E012,Engineering,DevOps Engineer,11991.18,0.0,2398.24,14389.41
2023-07,E013,Engineering,Software Engineer,12117.65,0.0,2423.53,14541.18
2023-07,E014,Engineering,Senior Software Engineer,12244.12,0.0,2448.82,14692.94
2023-07,E015,Engineering,Staff Engineer,12370.59,0.0,2474.12,14844.71
2023-07,E016,Engineering,DevOps Engineer,12497.06,0.0,2499.41,14996.47
2023-07,E017,Engineering,Software Engineer,12623.53,0.0,2524.71,15148.24
2023-07,E018,Engineering,Senior Software Engineer,12750.0,0.0,2550.0,15300.0
2023-07,E019,Sales,Account Executive,7066.67,706.67,1413.33,9186.67
2023-07,E020,Sales,Sales Development Rep,7225.93,722.59,1445.19,9393.7
2023-07,E021,Sales,Sales Manager,7385.19,738.52,1477.04,9600.74
2023-07,E022,Sales,Account Executive,7544.44,754.44,1508.89,9807.78
2023-07,E023,Sales,Sales Development Rep,7703.7,770.37,1540.74,10014.81
2023-07,E024,Sales,Sales Manager,7862.96,786.3,1572.59,10221.85
2023-07,E025,Sales,Account Executive,8022.22,802.22,1604.44,10428.89
2023-07,E026,Sales,Sales Development Rep,8181.48,818.15,1636.3,10635.93
2023-07,E027,Sales,Sales Manager,8340.74,834.07,1668.15,10842.96
2023-07,E028,Sales,Account Executive,8500.0,850.0,1700.0,11050.0
2023-07,E029,Marketing,Marketing Manager,6600.0,0.0,1320.0,7920.0
2023-07,E030,Marketing,Demand Generation Specialist,6850.83,0.0,1370.17,8221.0
2023-07,E031,Marketing,Content Strategist,7101.67,0.0,1420.33,8522.0
2023-07,E032,Marketing,Marketing Manager,7352.5,0.0,1470.5,8823.0
2023-07,E033,Marketing,Demand Generation Specialist,7603.33,0.0,1520.67,9124.0
2023-07,E034,Marketing,Content Strategist,7854.17,0.0,1570.83,9425.0
2023-07,E035,Product,Product Manager,9566.67,0.0,1913.33,11480.0
2023-07,E036,Product,Senior Product Manager,9925.0,0.0,1985.0,11910.0
2023-07,E037,Product,Product Designer,10283.33,0.0,2056.67,12340.0
2023-07,E038,Product,Product Manager,10641.67,0.0,2128.33,12770.0
2023-07,E039,Product,Senior Product Manager,11000.0,0.0,2200.0,13200.0
2023-07,E040,Operations,Operations Manager,5716.67,0.0,1143.33,6860.0
2023-07,E041,Operations,People Operations Specialist,5895.83,0.0,1179.17,7075.0
2023-07,E042,Operations,IT Administrator,6075.0,0.0,1215.0,7290.0
2023-07,E043,Operations,Operations Manager,6254.17,0.0,1250.83,7505.0
2023-07,E044,Operations,People Operations Specialist,6433.33,0.0,1286.67,7720.0
2023-07,E045,Operations,IT Administrator,6612.5,0.0,1322.5,7935.0
2023-07,E046,Operations,Operations Manager,6791.67,0.0,1358.33,8150.0
2023-07,E047,Finance,Financial Analyst,7433.33,0.0,1486.67,8920.0
2023-07,E048,Finance,Controller,7851.39,0.0,1570.28,9421.67
2023-07,E049,Finance,Accounting Manager,8269.44,0.0,1653.89,9923.33
2023-07,E050,Finance,Financial Analyst,8687.5,0.0,1737.5,10425.0
2023-08,E001,Engineering,Software Engineer,10600.0,0.0,2120.0,12720.0
2023-08,E002,Engineering,Senior Software Engineer,10726.47,0.0,2145.29,12871.76
2023-08,E003,Engineering,Staff Engineer,10852.94,0.0,2170.59,13023.53
2023-08,E004,Engineering,DevOps Engineer,10979.41,0.0,2195.88,13175.29
2023-08,E005,Engineering,Software Engineer,11105.88,0.0,2221.18,13327.06
